County,OnsetDate,Active,Deceased,Recovered,TrendLine
,2020-07-27,1,0,0,
,2020-08-02,8,0,0,
,2020-08-03,7,0,0,1
,2020-08-04,3,0,0,1
,2020-08-05,1,0,0,1
,2020-08-06,1,0,0,1
ADAIR,2020-02-25,0,1,0,
ADAIR,2020-03-15,0,0,1,
ADAIR,2020-03-16,0,0,1,
ADAIR,2020-03-19,0,1,0,
ADAIR,2020-03-20,0,0,1,
ADAIR,2020-03-21,0,0,1,
ADAIR,2020-03-22,0,0,1,1
ADAIR,2020-03-23,0,1,0,1
ADAIR,2020-03-24,0,0,2,1
ADAIR,2020-03-25,0,0,1,1
ADAIR,2020-03-26,0,0,2,1
ADAIR,2020-03-28,0,0,1,1
ADAIR,2020-03-29,0,0,2,1
ADAIR,2020-03-30,0,0,1,1
ADAIR,2020-03-31,0,1,4,1.2
ADAIR,2020-04-01,0,0,1,1.1
ADAIR,2020-04-02,0,0,2,1.3
ADAIR,2020-04-03,0,0,1,1.3
ADAIR,2020-04-05,0,0,1,1.5
ADAIR,2020-04-06,0,0,1,1.5
ADAIR,2020-04-07,0,0,1,2
ADAIR,2020-04-09,0,0,10,2
ADAIR,2020-04-10,0,0,2,1.9
ADAIR,2020-04-13,0,0,2,1.8
ADAIR,2020-04-15,1,0,3,1.2
ADAIR,2020-04-16,0,0,1,2.8
ADAIR,2020-04-18,0,0,2,3
ADAIR,2020-04-19,0,0,2,3.5
ADAIR,2020-04-20,0,0,2,3.8
ADAIR,2020-04-21,0,0,1,4.7
ADAIR,2020-04-23,0,0,8,2.3
ADAIR,2020-04-24,0,0,3,2.3
ADAIR,2020-04-28,0,0,1,2
ADAIR,2020-04-30,0,0,1,3
ADAIR,2020-05-01,0,0,3,3
ADAIR,2020-05-02,0,0,1,3.2
ADAIR,2020-05-03,0,0,1,3.5
ADAIR,2020-05-04,0,0,1,4
ADAIR,2020-05-05,0,0,1,4
ADAIR,2020-05-06,1,0,1,4
ADAIR,2020-05-09,0,0,2,1.5
ADAIR,2020-05-12,0,0,1,1.3
ADAIR,2020-05-15,0,0,3,1.2
ADAIR,2020-05-17,0,0,2,1.5
ADAIR,2020-05-18,0,0,3,1.7
ADAIR,2020-05-22,0,0,1,2
ADAIR,2020-05-23,0,0,1,2
ADAIR,2020-05-26,0,0,3,2.7
ADAIR,2020-05-27,0,0,1,2.7
ADAIR,2020-05-28,1,0,1,2.7
ADAIR,2020-05-29,0,0,1,2
ADAIR,2020-06-01,0,0,2,1
ADAIR,2020-06-07,0,0,1,1.8
ADAIR,2020-06-08,0,0,1,1.8
ADAIR,2020-06-10,0,0,1,1.7
ADAIR,2020-06-12,0,0,4,2
ADAIR,2020-06-13,0,0,3,2
ADAIR,2020-06-14,0,0,1,1.5
ADAIR,2020-06-15,0,0,3,1
ADAIR,2020-06-16,0,0,1,1
ADAIR,2020-06-17,0,0,2,1
ADAIR,2020-06-18,0,0,1,1
